KONSEP 0,Kewajiban Beriman Kepada Malaikat ,3,8,27.27,50.00,35.29
KONSEP 0,Sifat - Sifat Malaikat,1,10,9.09,5.56,6.90
KONSEP 0,Doa Malaikat Untuk Umat Muslim,1,10,9.09,25.00,13.33
KONSEP 0,Pertemuan Malaikat Penjaga Malam dan Malaikat Penjaga Siang,0,0,0.00,0.00,0.00
KONSEP 0,Keikut Sertaan Malaikat Dalam Peperangan,2,9,18.18,28.57,22.22
KONSEP 0,Tugas - Tugas Malaikat,6,5,54.55,4.96,9.09
KONSEP 1,Kewajiban Beriman Kepada Malaikat ,5,95,5.00,83.33,9.43
KONSEP 1,Sifat - Sifat Malaikat,13,87,13.00,72.22,22.03
KONSEP 1,Doa Malaikat Untuk Umat Muslim,3,97,3.00,75.00,5.77
KONSEP 1,Pertemuan Malaikat Penjaga Malam dan Malaikat Penjaga Siang,1,99,1.00,100.00,1.98
KONSEP 1,Keikut Sertaan Malaikat Dalam Peperangan,4,96,4.00,57.14,7.48
KONSEP 1,Tugas - Tugas Malaikat,86,14,86.00,71.07,77.83
KONSEP 2,Kewajiban Beriman Kepada Malaikat ,5,94,5.05,83.33,9.52
KONSEP 2,Sifat - Sifat Malaikat,13,86,13.13,72.22,22.22
KONSEP 2,Doa Malaikat Untuk Umat Muslim,4,95,4.04,100.00,7.77
KONSEP 2,Pertemuan Malaikat Penjaga Malam dan Malaikat Penjaga Siang,1,98,1.01,100.00,2.00
KONSEP 2,Keikut Sertaan Malaikat Dalam Peperangan,5,94,5.05,71.43,9.43
KONSEP 2,Tugas - Tugas Malaikat,83,16,83.84,68.60,75.45
KONSEP 3,Kewajiban Beriman Kepada Malaikat ,5,92,5.15,83.33,9.71
KONSEP 3,Sifat - Sifat Malaikat,13,84,13.40,72.22,22.61
KONSEP 3,Doa Malaikat Untuk Umat Muslim,4,93,4.12,100.00,7.92
KONSEP 3,Pertemuan Malaikat Penjaga Malam dan Malaikat Penjaga Siang,0,0,0.00,0.00,0.00
KONSEP 3,Keikut Sertaan Malaikat Dalam Peperangan,5,92,5.15,71.43,9.62
KONSEP 3,Tugas - Tugas Malaikat,82,15,84.54,67.77,75.23
KONSEP 4,Kewajiban Beriman Kepada Malaikat ,1,15,6.25,16.67,9.09
KONSEP 4,Sifat - Sifat Malaikat,2,14,12.50,11.11,11.76
KONSEP 4,Doa Malaikat Untuk Umat Muslim,0,0,0.00,0.00,0.00
KONSEP 4,Pertemuan Malaikat Penjaga Malam dan Malaikat Penjaga Siang,1,15,6.25,100.00,11.76
KONSEP 4,Keikut Sertaan Malaikat Dalam Peperangan,0,0,0.00,0.00,0.00
KONSEP 4,Tugas - Tugas Malaikat,14,2,87.50,11.57,20.44
KONSEP 5,Kewajiban Beriman Kepada Malaikat ,6,94,6.00,100.00,11.32
KONSEP 5,Sifat - Sifat Malaikat,11,89,11.00,61.11,18.64
KONSEP 5,Doa Malaikat Untuk Umat Muslim,4,96,4.00,100.00,7.69
KONSEP 5,Pertemuan Malaikat Penjaga Malam dan Malaikat Penjaga Siang,0,0,0.00,0.00,0.00
KONSEP 5,Keikut Sertaan Malaikat Dalam Peperangan,7,93,7.00,100.00,13.08
KONSEP 5,Tugas - Tugas Malaikat,84,16,84.00,69.42,76.02
