;Pengelompokan;Data Pengelompokan;Jumlah;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;(2 3);(2 177);(2 285);(9 26);(9 40);(33 9);(33 43);(37 1);(37 2);(37 3);(74 31);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11
2;;(2 30);(2 98);(2 102);(2 177);(2 248);(2 285);(3 18);(3 39);(3 42);(3 45);(3 124);(3 125);(4 97);(4 136);(4 166);(6 61);(6 93);(6 158);(7 37);(7 206);(8 9);(8 12);(8 50);(10 21);(11 69);(11 70);(11 77);(11 81);(13 11);(13 13);(13 23);(15 8);(15 52);(15 53);(15 54);(15 57);(16 2);(16 28);(16 32);(16 33);(16 49);(17 18);(21 19);(21 26);(21 28);(21 103);(22 75);(25 25);(29 31);(29 32);(29 33);(32 11);(33 43);(33 56);(35 1);(37 164);(40 7);(41 30);(41 31);(41 38);(42 5);(42 51);(43 19);(43 80);(47 27);(50 17);(50 18);(50 21);(50 23);(50 41);(51 4);(51 24);(51 28);(51 31);(54 6);(66 4);(66 6);(69 17);(72 27);(74 30);(74 31);(77 1);(77 2);(77 3);(77 4);(77 5);(78 38);(79 1);(79 2);(79 3);(79 4);(79 5);(80 15);(80 16);(81 19);(82 10);(82 11);(83 21);(96 18);(97 4);100
3;;(2 30);(2 98);(2 102);(2 177);(2 248);(2 285);(3 18);(3 39);(3 42);(3 45);(3 124);(3 125);(4 97);(4 136);(4 166);(6 61);(6 93);(6 158);(7 37);(7 206);(8 9);(8 12);(8 50);(9 26);(9 40);(10 21);(11 69);(11 70);(11 73);(11 77);(11 81);(13 11);(13 13);(13 23);(15 8);(16 2);(16 28);(16 32);(16 33);(16 49);(17 18);(19 19);(19 64);(21 19);(21 26);(21 28);(21 103);(22 75);(25 25);(29 31);(29 32);(29 33);(32 11);(33 43);(33 56);(35 1);(37 164);(40 7);(41 30);(41 31);(41 38);(42 5);(42 51);(43 19);(43 80);(47 27);(50 17);(50 18);(50 21);(50 23);(50 41);(51 4);(51 24);(54 6);(66 4);(66 6);(69 17);(72 27);(74 30);(74 31);(77 1);(77 2);(77 3);(77 4);(77 5);(78 38);(79 1);(79 2);(79 3);(79 4);(79 5);(80 15);(80 16);(81 19);(82 10);(82 11);(83 21);(96 18);(97 4);;99
4;;(2 30);(2 98);(2 102);(2 177);(2 248);(2 285);(3 18);(3 39);(3 42);(3 45);(3 124);(3 125);(4 97);(4 136);(4 166);(6 61);(6 93);(6 158);(7 37);(7 206);(8 9);(8 12);(8 50);(9 26);(9 40);(10 21);(11 69);(11 70);(11 73);(11 77);(11 81);(13 11);(13 13);(13 23);(15 8);(16 2);(16 28);(16 32);(16 33);(16 49);(19 19);(19 64);(21 19);(21 26);(21 28);(21 103);(22 75);(25 25);(29 31);(29 32);(29 33);(32 11);(33 43);(33 56);(35 1);(37 164);(40 7);(41 30);(41 38);(42 5);(42 51);(43 19);(43 80);(47 27);(50 17);(50 18);(50 21);(50 23);(50 41);(51 4);(51 24);(54 6);(66 4);(66 6);(69 17);(72 27);(74 30);(74 31);(77 1);(77 2);(77 3);(77 4);(77 5);(78 38);(79 1);(79 2);(79 3);(79 4);(79 5);(80 15);(80 16);(81 19);(82 10);(82 11);(83 21);(96 18);(97 4);;;;97
5;;(2 285);(3 39);(3 42);(3 45);(15 53);(17 18);(37 1);(37 2);(37 3);(41 31);(43 80);(50 17);(50 23);(51 28);(79 5);(82 11);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16
6;;(2 3);(2 30);(2 98);(2 102);(2 177);(2 248);(2 285);(3 18);(3 39);(3 42);(3 45);(3 124);(3 125);(4 97);(4 136);(4 166);(6 61);(6 93);(6 158);(7 37);(7 206);(8 9);(8 10);(8 12);(8 50);(9 26);(9 40);(10 21);(11 69);(11 70);(11 73);(11 77);(11 81);(13 11);(13 13);(13 23);(15 8);(15 65);(16 2);(16 28);(16 32);(16 33);(16 49);(19 64);(21 19);(21 20);(21 26);(21 28);(21 103);(22 75);(25 25);(29 31);(29 32);(29 33);(32 11);(33 9);(33 43);(33 56);(35 1);(37 164);(37 166);(39 75);(40 7);(41 30);(41 38);(42 5);(42 51);(43 19);(43 80);(47 27);(50 17);(50 18);(50 21);(50 41);(51 4);(51 24);(54 6);(66 4);(66 6);(69 17);(72 27);(74 30);(74 31);(77 1);(77 2);(77 3);(77 4);(77 5);(78 38);(79 1);(79 2);(79 3);(79 4);(79 5);(80 15);(82 10);(83 21);(86 4);(96 18);(97 4);100
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Pengelompokan;Data Pengelompokan;Jumlah;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
